id,name,descr,aliases
WMPID4265,Ethan Hobson,Ethan Hobson is a 3rd party candidate for the 5th District of Michigan.,Ethan Hobson|Hobson|Ethan Hobson's|Hobson's|ETHAN HOBSON|HOBSON|ETHAN HOBSON'S|HOBSON'S
WMPID4405,Ethan Keith Osborne,Ethan Keith Osborne is a 3rd party candidate for the 4th District of Kentucky.,Ethan Keith Osborne|Osborne|Ethan Osborne|Ethan Keith Osborne's|Osborne's|Ethan Osborne's|ETHAN KEITH OSBORNE|OSBORNE|ETHAN OSBORNE|ETHAN KEITH OSBORNE'S|OSBORNE'S|ETHAN OSBORNE'S
WMPID4870,Evangeline Hundley,Evangeline Hundley is a Democratic candidate for the 5th District of South Carolina.,Evangeline Hundley|Hundley|Evangeline Hundley's|Hundley's|EVANGELINE HUNDLEY|HUNDLEY|EVANGELINE HUNDLEY'S|HUNDLEY'S
WMPID1008,Evelyn Rogers,Evelyn Rogers is a 3rd party candidate for the 1st District of Oklahoma.,Evelyn Rogers|Rogers|Evelyn Rogers'|Rogers'|EVELYN ROGERS|ROGERS|EVELYN ROGERS'|ROGERS'
WMPID2723,Everett Stern,Everett Stern is a 3rd party Senate candidate in Pennsylvania.,Everett Stern|Stern|Everett Stern's|Stern's|EVERETT STERN|STERN|EVERETT STERN'S|STERN'S
WMPID2182,Ezra Scott,Ezra Scott is a Republican candidate for the 5th District of Michigan.,Ezra Scott|Scott|Ezra Scott's|Scott's|EZRA SCOTT|SCOTT|EZRA SCOTT'S|SCOTT'S
WMPID3712,Feena Bonoan,Feena Bonoan is a 3rd party Senate candidate in Hawaii.,Feena Bonoan|Bonoan|Feena Bonoan's|Bonoan's|FEENA BONOAN|BONOAN|FEENA BONOAN'S|BONOAN'S
WMPID3480,Francis Conole,Francis Conole is a Democratic candidate for the 22nd District of New York.,Francis Conole|Conole|Francis Conole's|Conole's|FRANCIS CONOLE|CONOLE|FRANCIS CONOLE'S|CONOLE'S
WMPID4195,Francisco Jr Lopez Jr.,Francisco Jr Lopez Jr. is a 3rd party candidate for the 23rd District of Texas.,Francisco Jr Lopez Jr.|Lopez|Francisco Lopez|Francisco Jr Lopez Jr.'s|Lopez's|Francisco Lopez's|FRANCISCO JR LOPEZ JR.|LOPEZ|FRANCISCO LOPEZ|FRANCISCO JR LOPEZ JR.'S|LOPEZ'S|FRANCISCO LOPEZ'S
WMPID2195,Frank Bertone,Frank Bertone is a 3rd party candidate for the 6th District of Arizona.,Frank Bertone|Bertone|Frank Bertone's|Bertone's|FRANK BERTONE|BERTONE|FRANK BERTONE'S|BERTONE'S
