ad_id,combined_entities
x_1130696917553540,"['WMPID2759', 'WMPID5332', 'WMPID1583', 'WMPID1188']"
x_1130814731145486,['WMPID489']
x_1130952104477019,['WMPID1504']
x_1131681550777366,[]
x_1131834694154062,"['WMPID4511', 'WMPID4471', 'WMPID1330']"
x_1131981807732261,[]
x_1132278157704759,['WMPID1290']
x_1132397940710527,['WMPID5270']
x_1132892764272982,[]
x_1133234844064895,"['WMPID966', 'WMPID1052', 'WMPID4733']"
x_1133372477611472,[]
x_1134491007191311,"['WMPID4688', 'WMPID849']"
x_1135368240393394,[]
x_1135386200409687,['WMPID1302']
x_1135912420674104,[]
x_1136005763966025,['WMPID5335']
x_1136272066995490,[]
x_1136322663613998,[]
x_1137155093872654,['WMPID1505']
x_1137198033474905,[]
x_1137234930251155,['WMPID5280']
x_1138080890462669,[]
x_1138112107117597,"['WMPID1630', 'WMPID3395']"
x_1138214133456081,[]
x_1138425980213848,['WMPID3449']
x_1138865830340182,"['WMPID1650', 'WMPID1125', 'WMPID785', 'WMPID1370', 'WMPID3625']"
x_1138885550059837,['WMPID5331']
x_1139762280306978,['WMPID4126']
x_1140765483526371,"['WMPID3594', 'WMPID3687']"
x_1141639103138793,['WMPID1188']
x_1142585859673329,"['WMPID3880', 'WMPID5311']"
x_1143676796237153,[]
x_1144228432868221,"['WMPID2987', 'WMPID1516']"
x_1144501863090049,['WMPID5303']
x_1145108016411302,['WMPID2065']
x_1145295733036886,['WMPID5206']
x_1146300462907135,[]
x_1146379869634805,"['WMPID5206', 'WMPID1330']"
x_1147390362561425,['WMPID1193']
x_1148783969400733,['WMPID5265']
x_1148916492721253,[]
x_1149057379025900,['WMPID1471']
x_1149166475954108,['WMPID1471']
x_1149252102347435,"['WMPID5301', 'WMPID5313']"
x_1149659049302499,"['WMPID1289', 'WMPID2103']"
x_1149773628979140,[]
x_1149871052630848,"['WMPID1342', 'WMPID5206']"
x_1150151972249458,[]
x_1150312315576213,[]
x_1150539835873469,[]
x_1150874932450233,['WMPID534']
x_1151176435514505,[]
x_1151923935493133,"['WMPID5328', 'WMPID1290', 'WMPID3780']"
x_1152446675656846,['WMPID258']
x_1152479042052153,[]
x_1152496165644392,[]
x_1152515302144360,[]
x_1152664272342335,['WMPID987']
x_1153281741982166,['WMPID233']
x_1153651998908720,[]
x_1153852001875279,"['WMPID787', 'WMPID1321']"
x_1154231155178893,"['WMPID5303', 'WMPID1290']"
x_1155155725415654,['WMPID5344']
x_1155805838308533,"['WMPID5282', 'WMPID5172']"
x_1155927758363024,"['WMPID1321', 'WMPID787']"
x_1156102525005758,[]
x_1156192868336328,"['WMPID4650', 'WMPID1450']"
x_1156487711936242,"['WMPID5305', 'WMPID970']"
x_1156660338539352,[]
x_1157096001569739,"['WMPID1289', 'WMPID1302']"
x_1157120971600444,[]
x_1157535965116948,[]
x_1157599521526787,[]
x_1158414621769864,"['WMPID2221', 'WMPID1289']"
x_1159061391697622,[]
x_1159105794681420,[]
x_1159752078297287,['WMPID3297']
x_1159886424950519,"['WMPID4716', 'WMPID5215', 'WMPID1270']"
x_1160164641550197,"['WMPID1052', 'WMPID960']"
x_1160633021552252,['WMPID1302']
x_1160667548218508,['WMPID2781']
x_1160678758167103,"['WMPID1445', 'WMPID3978']"
x_1161162061150461,[]
x_1161641974710804,['WMPID4441']
x_1162010634527514,"['WMPID1029', 'WMPID1459']"
x_1162371281295802,['WMPID2759']
x_1162407844653827,['WMPID5288']
x_1162506397692772,['WMPID1330']
x_1162559641304452,[]
x_1162710014600484,"['WMPID1289', 'WMPID5264', 'WMPID1158']"
x_1162845887949566,"['WMPID4511', 'WMPID5206']"
x_1162963244654492,['WMPID1173']
x_1163142917888197,"['WMPID1289', 'WMPID1302', 'WMPID994']"
x_1163830551175274,"['WMPID413', 'WMPID1254', 'WMPID2908']"
x_1163911054478908,"['WMPID1219', 'WMPID3395']"
x_1164062344541437,[]
x_1164379207495324,"['WMPID1018', 'WMPID233']"
x_1165916397468412,[]
x_1167076587355937,['WMPID4051']
x_1167510827513015,['WMPID1302']
x_1167583927303716,['WMPID1067']
x_1167981327402059,"['WMPID21', 'WMPID1038', 'WMPID862', 'WMPID769', 'WMPID946', 'WMPID35', 'WMPID1047', 'WMPID866', 'WMPID863', 'WMPID864', 'WMPID30', 'WMPID781', 'WMPID67', 'WMPID87', 'WMPID1067', 'WMPID773', 'WMPID52', 'WMPID86', 'WMPID776', 'WMPID878', 'WMPID124', 'WMPID158', 'WMPID961', 'WMPID960', 'WMPID175', 'WMPID972', 'WMPID1090', 'WMPID962', 'WMPID1087', 'WMPID136', 'WMPID882', 'WMPID195', 'WMPID1177', 'WMPID551', 'WMPID1212', 'WMPID922', 'WMPID834', 'WMPID832', 'WMPID837', 'WMPID1225', 'WMPID1013', 'WMPID1218', 'WMPID1229', 'WMPID1228', 'WMPID840', 'WMPID534', 'WMPID607', 'WMPID1238', 'WMPID606', 'WMPID844', 'WMPID1236', 'WMPID1024', 'WMPID1020', 'WMPID850', 'WMPID853', 'WMPID1259', 'WMPID1240', 'WMPID1665', 'WMPID688', 'WMPID1243', 'WMPID1022', 'WMPID650', 'WMPID667', 'WMPID645', 'WMPID1254', 'WMPID271', 'WMPID979', 'WMPID803', 'WMPID982', 'WMPID983', 'WMPID3927', 'WMPID273', 'WMPID2', 'WMPID334', 'WMPID1370', 'WMPID894', 'WMPID895', 'WMPID897', 'WMPID375', 'WMPID1158', 'WMPID1165', 'WMPID994', 'WMPID1162', 'WMPID900', 'WMPID812', 'WMPID2875', 'WMPID998', 'WMPID818', 'WMPID489', 'WMPID918', 'WMPID919', 'WMPID1188']"
x_1168848653674746,[]
x_1168856920364009,[]
x_1168870997002820,"['WMPID560', 'WMPID5206', 'WMPID3239']"
x_1169005083696833,['WMPID4191']
x_1169157937277383,"['WMPID1516', 'WMPID1547']"
x_1169785527086100,"['WMPID1465', 'WMPID2037']"
x_1170080816878112,[]
x_1170120623942927,"['WMPID1629', 'WMPID1188']"
x_1172716386660725,[]
x_1173226930204616,['WMPID3230']
x_1173454120193109,"['WMPID1357', 'WMPID2244']"
x_1173903500142691,[]
x_1174421809863559,[]
x_1174497193117989,"['WMPID1289', 'WMPID5305']"
x_1175173426708481,['WMPID4511']
x_1176151486320852,['WMPID774']
x_1177119189567686,[]
x_1178009362805440,['WMPID1531']
x_1178126043099897,[]
x_1180292589534265,['WMPID5265']
x_1180437769520526,['WMPID800']
x_1180489496154344,['WMPID2029']
x_1181270669131182,[]
x_1181798212742946,[]
x_1182132515845156,['WMPID821']
x_1183325042253539,['WMPID2987']
x_1183433355588089,[]
